From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Tolworth,412144,Waterloo,00:33,0,every 00:30,,,,00:33
Tring,343109,Euston,00:37,0,every 00:14,,,,00:37
Twickenham,592341,Waterloo,00:26,0,every 00:08,,,,00:26
Twyford,323034,Paddington,00:32,0,every 00:14,,,,00:32
Upper Halliford,300247,Waterloo,00:48,0,every 00:15,,,,00:48
Victoria,1113360,Waterloo,00:17,0,every 00:04,,,,00:17
Victoria,1113360,London Bridge,00:24,1,every 00:03,,,,00:24
Virginia Water,332113,Waterloo,00:47,0,every 00:11,,,,00:47
Walton-on-Thames,660853,Waterloo,00:29,0,every 00:12,,,,00:29
Wanborough,438370,Waterloo,00:53,1,every 00:22,,,,00:53
Wandsworth Common,569614,Waterloo,00:25,1,every 00:06,,,,00:25
Wandsworth Common,569614,Charing Cross,00:36,1,every 00:06,,,,00:36
Wandsworth Common,569614,London Bridge,00:40,1,every 00:07,,,,00:40
Wandsworth Road,411350,London Bridge,00:21,0,every 00:30,,,,00:21
Wandsworth Road,411350,Charing Cross,00:31,1,every 00:15,,,,00:31
Wandsworth Road,411350,Waterloo,00:34,2,every 00:14,,,,00:34
Wandsworth Town,569614,Waterloo,00:16,0,every 00:07,,,,00:16
Wargrave,323034,Paddington,00:37,0,every 00:32,,,,00:37
Wembley Central,421527,Euston,00:24,0,every 00:20,,,,00:24
Wendover,273920,Marylebone,00:51,0,every 00:16,,,,00:51
West Brompton,740383,Victoria,00:20,1,every 00:21,,,,00:20
West Brompton,740383,Waterloo,00:33,1,every 00:15,,,,00:33
West Brompton,740383,London Bridge,00:41,1,every 00:15,,,,00:41
West Brompton,740383,Charing Cross,00:43,2,every 00:19,,,,00:43
West Byfleet,357859,Waterloo,00:40,0,every 00:12,,,,00:40
West Drayton,306484,Paddington,00:25,0,every 00:15,,,,00:25
West Hampstead,824485,Blackfriars,00:30,1,every 00:18,,,,00:30
West Hampstead,824485,Kings Cross,00:32,1,every 00:05,,,,00:32
West Hampstead,824485,Moorgate,00:39,2,every 00:11,,,,00:39
West Hampstead,824485,London Bridge,00:53,2,every 00:11,,,,00:53
West Ruislip,306484,Marylebone,00:25,0,every 00:50,,,,00:25
Weybridge,660853,Waterloo,00:34,0,every 00:17,,,,00:34
Whitton,592341,Waterloo,00:29,0,every 00:13,,,,00:29
Willesden Junction,421527,Euston,00:16,0,every 00:22,,,,00:16
Wimbledon,450538,Waterloo,00:19,0,every 00:03,,,,00:19
Wimbledon,450538,Blackfriars,00:34,0,every 00:08,,,,00:34
Wimbledon,450538,Kings Cross,00:40,1,every 00:03,,,,00:40
Wimbledon,450538,London Bridge,00:43,1,every 00:06,,,,00:43
Wimbledon,450538,Moorgate,00:52,1,every 00:07,,,,00:52
