Input File,Station,Average House Price,Destination,Duration,Frequency,Changes,Primary Schools Link,Secondary Schools Link
commutefrom-E.csv,Penge East,347974,Moorgate,00:38,every 00:15,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge East,347974,Kings Cross,00:45,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge East,347974,Cannon Street,00:49,every 00:04,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20East&t=sec
commutefrom-E.csv,Penge West,347974,London Bridge,00:21,every 00:15,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Victoria,00:32,every 00:09,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Cannon Street,00:37,every 00:12,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Blackfriars,00:38,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Moorgate,00:39,every 00:11,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Waterloo,00:40,every 00:08,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Charing Cross,00:41,every 00:16,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penge West,347974,Kings Cross,00:43,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penge%20West&t=sec
commutefrom-E.csv,Penshurst,448336,London Bridge,00:50,every 00:23,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penshurst&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penshurst&t=sec
commutefrom-E.csv,Penshurst,448336,Cannon Street,00:56,every 00:32,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penshurst&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Penshurst&t=sec
commutefrom-E.csv,Petts Wood,347974,London Bridge,00:23,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=sec
commutefrom-E.csv,Petts Wood,347974,Cannon Street,00:29,every 00:20,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=sec
commutefrom-E.csv,Petts Wood,347974,Waterloo,00:29,every 00:09,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=sec
commutefrom-E.csv,Petts Wood,347974,Charing Cross,00:30,every 00:09,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=sec
commutefrom-E.csv,Petts Wood,347974,Victoria,00:36,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=sec
commutefrom-E.csv,Petts Wood,347974,Blackfriars,00:37,every 00:12,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Petts%20Wood&t=sec
commutefrom-E.csv,Pitsea,235205,Fenchurch Street,00:41,every 00:16,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Pitsea&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Pitsea&t=sec
commutefrom-E.csv,Plumstead,298130,London Bridge,00:24,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=sec
commutefrom-E.csv,Plumstead,298130,Cannon Street,00:31,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=sec
commutefrom-E.csv,Plumstead,298130,Waterloo,00:36,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=sec
commutefrom-E.csv,Plumstead,298130,Charing Cross,00:37,every 00:20,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=sec
commutefrom-E.csv,Plumstead,298130,Blackfriars,00:40,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=sec
commutefrom-E.csv,Plumstead,298130,Victoria,00:54,every 00:11,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Plumstead&t=sec
commutefrom-E.csv,Prittlewell,209540,Liverpool Street,00:58,every 00:09,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Prittlewell&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Prittlewell&t=sec
commutefrom-E.csv,Purfleet,182331,Fenchurch Street,00:33,every 00:15,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Purfleet&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Purfleet&t=sec
commutefrom-E.csv,Queens Road Peckham,424252,Blackfriars,00:20,every 00:13,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=sec
commutefrom-E.csv,Queens Road Peckham,424252,Victoria,00:21,every 00:14,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=sec
commutefrom-E.csv,Queens Road Peckham,424252,Waterloo,00:27,every 00:07,2,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=sec
commutefrom-E.csv,Queens Road Peckham,424252,Charing Cross,00:28,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Queens%20Road%20Peckham&t=sec
